transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,payment_status,transaction_date_parsed,transaction_year,transaction_month,transaction_month_name,transaction_quarter,email_masked,phone_masked,data_source,category_standard,standard_price,revenue
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15 00:00:00,4,Card,0.3,successful,2025-12-15,2025,12,December,Q4,76ffa713643b2bce59e8f09465ce4da005bbf926e69b12a1e45af4719adafb40,XXXXXX0319,retail_data1,Clothing,8000,22400.0
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,06-30-2025,3,Upi,0.25,successful,2025-06-30,2025,6,June,Q2,40a83df9f330ac772f6c617eb158eda9154afcc8965691865591b344b10a974f,XXXXXX6334,retail_data1,Furniture,80000,180000.0
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14 00:00:00,5,Cash,0.35,successful,2025-06-14,2025,6,June,Q2,5042828fc6e0eecea67ecb96430fe40168bfdf334611c7afdb24a609df9c7399,XXXXXX6426,retail_data1,Home Appliances,65000,211250.0
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24 00:00:00,5,Card,0.2,successful,2026-02-24,2026,2,February,Q1,3d3ed14f64f0b302acf88027ecc8df3e9c23f034b2ee935a1386a175cba539a0,XXXXXX7598,retail_data1,Home Appliances,65000,260000.0
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31 00:00:00,5,Upi,0.25,successful,2026-01-31,2026,1,January,Q1,95cac9fe7d5b707d246524992e0b16e9654ea62f2885288cad8c3e698cab240e,XXXXXX9222,retail_data1,Home Appliances,65000,243750.0
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,08-20-2025,5,Netbanking,0.15,successful,2025-08-20,2025,8,August,Q3,ee57568838b9df6f60280ce04fb064e708f12f8740bcbcc6d9e11e9c2ba49d25,XXXXXX1327,retail_data1,Clothing,8000,34000.0
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19 00:00:00,3,Netbanking,0.15,successful,2025-05-19,2025,5,May,Q2,76f510090627ecfd9770efd3ffa0208d7a685b545cc2f57456fe5c0ee1a42ea7,XXXXXX0219,retail_data1,Electronics,70000,178500.0
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,05-15-2025,2,Card,0.15,successful,2025-05-15,2025,5,May,Q2,bca42e0b73394253ab09b7dca00b96a23e7077e4b28f575949123de6fc8c5e9c,XXXXXX9731,retail_data1,Home Appliances,15000,25500.0
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07 00:00:00,4,Cash,0.2,successful,2025-09-07,2025,9,September,Q3,ad7afc58c06901628ded5141f63bcadba807461b4cf82d47613910bb8aa0d53e,XXXXXX5116,retail_data1,Clothing,1300,4160.0
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05 00:00:00,1,Card,0.15,successful,2025-07-05,2025,7,July,Q3,791837fc940a60b6e057a3477c8b25345403edebaa568005d011c836e7e5f74a,XXXXXX3539,retail_data1,Clothing,8000,6800.0
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10 00:00:00,3,Upi,0.05,successful,2025-12-10,2025,12,December,Q4,a39038d1a7d3d2e4ccb47c4a31d28f07dfabf600686cfae0e148e1ad99f9bb51,XXXXXX1732,retail_data1,Home Appliances,65000,185250.0
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11 00:00:00,4,Upi,0.4,successful,2025-03-11,2025,3,March,Q1,6bd54f023ea27067378563f22f85d65df23e201ad05a14cf94750549bdc8f008,XXXXXX2093,retail_data1,Home Appliances,65000,156000.0
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15 00:00:00,2,Upi,0.25,successful,2026-04-15,2026,4,April,Q2,82a765415bbeccc0ef6a7f12bc9e2550270f6239f6676970c8f84cf1cae4e920,XXXXXX9548,retail_data1,Home Appliances,15000,22500.0
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16 00:00:00,3,Cash,0.25,successful,2025-05-16,2025,5,May,Q2,c4ae3e186fa1e14e3962b024c3e2d36008e8e022804cf89c4e32e9a40857fdef,XXXXXX0744,retail_data1,Home Appliances,15000,33750.0
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29 00:00:00,1,Card,0.3,successful,2025-08-29,2025,8,August,Q3,2dda91dc9a7b1c8cde2547e7b4c703a8fb69cd1e91bcc96e4b54186f90db5163,XXXXXX5109,retail_data1,Electronics,70000,49000.0
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,01-28-2026,1,Cash,0.05,successful,2026-01-28,2026,1,January,Q1,f07ce521fbe4363a1047931c5ebdd328724332a89b662a60d2b093cf079a2089,XXXXXX6443,retail_data1,Furniture,80000,76000.0
27,927,Bradley Sparks,105,45000.0,TV,Electronics,offline,Chennai,2025-11-13 00:00:00,5,Upi,0.2,successful,2025-11-13,2025,11,November,Q4,d8236a8ac74871cd94292aeed03c7f7bae09f87d269199fc360037479c202d10,XXXXXX0514,retail_data1,Electronics,45000,180000.0
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12 00:00:00,1,Card,0.3,successful,2025-11-12,2025,11,November,Q4,018c8bfa322cd7597d1ad4fa297f26dcdf5088138857c54c503b3373d06bb53b,XXXXXX8386,retail_data1,Furniture,50000,35000.0
29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28 00:00:00,2,Card,0.3,successful,2025-06-28,2025,6,June,Q2,c5bfd2c5fbce31ec4e529f0ad9f2aa05726fcef89e4a875df9c5aff0b01c60fd,XXXXXX6363,retail_data1,Home Appliances,65000,91000.0
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10 00:00:00,5,Card,0.05,successful,2025-07-10,2025,7,July,Q3,a59f1320b3129265a02701e0a4f574de6a67232836296ab79919d77c8c040293,XXXXXX3841,retail_data1,Furniture,80000,380000.0
31,455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03 00:00:00,4,Netbanking,0.3,successful,2025-06-03,2025,6,June,Q2,f797e431559ed8c7daa264bda58d0ee58e901938bd31ec05d1e94a4830e1ef39,XXXXXX4087,retail_data1,Furniture,50000,140000.0
32,367,Joshua Tate,105,45000.0,TV,Electronics,offline,Delhi,2025-11-14 00:00:00,4,Cash,0.4,successful,2025-11-14,2025,11,November,Q4,6d291068f1ca753dac63d65e98e7113d3fc73bee48a151098ed5155ed295011a,XXXXXX3716,retail_data1,Electronics,45000,108000.0
34,968,Keith Davis,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-09 00:00:00,4,Cash,0.15,successful,2025-11-09,2025,11,November,Q4,2a49a7f63b76aa4c353ce13f70a377d826c87e260d83645808788bf789dd39ed,XXXXXX4512,retail_data1,Furniture,50000,170000.0
35,390,Erika Knight,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-05-25 00:00:00,2,Card,0.1,successful,2025-05-25,2025,5,May,Q2,527971ce809635004952c182b0d6a6d6f73f6ae37987e7b3473bcef4704aebd7,XXXXXX7025,retail_data1,Home Appliances,45000,81000.0
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19 00:00:00,2,Netbanking,0.1,successful,2025-07-19,2025,7,July,Q3,6a4789f40f04265d04de9bd5589a3a47acfbb9b0522383ea6dd6bdcda52a6f8c,XXXXXX0493,retail_data1,Electronics,70000,126000.0
37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07 00:00:00,3,Upi,0.1,successful,2026-01-07,2026,1,January,Q1,7139ee0b996f8dd51a86bab331d6fe14e9eae64b58039d1bd4608902599626c1,XXXXXX2449,retail_data1,Clothing,1300,3510.0
38,437,Carrie Landry,104,8000.0,Shoes,Clothing,offline,Delhi,01-21-2026,1,Cash,0.25,successful,2026-01-21,2026,1,January,Q1,1ebae129ea6963c7d3c0d3ec6276052d9c228f33cab4875a8dee7963de2a3f87,XXXXXX2206,retail_data1,Clothing,8000,6000.0
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01 00:00:00,1,Cash,0.1,successful,2025-12-01,2025,12,December,Q4,2996d21b285e370b0928a3feadf2c8597e00ce6f3969d66709c2ec2d1d697271,XXXXXX3410,retail_data1,Clothing,8000,7200.0
40,391,Catherine Beard,103,1300.0,Shirt,Clothing,offline,Mumbai,2026-08-03 00:00:00,2,Netbanking,0.3,successful,2026-08-03,2026,8,August,Q3,e4811945393814fa31fb961863d66d1b2b0c20ef890403aca6529c0be351f652,XXXXXX7305,retail_data1,Clothing,1300,1820.0
41,743,Dorothy Davis,103,1300.0,Shirt,Clothing,online,Delhi,2025-12-22 00:00:00,3,Netbanking,0.1,successful,2025-12-22,2025,12,December,Q4,c9b05905b560a67693c05ef346413bc27c5dd162aa09d0c18c60d4f43df70764,XXXXXX3600,retail_data1,Clothing,1300,3510.0
42,17,Duane Hall,105,45000.0,TV,Electronics,online,Bangalore,2025-07-11 00:00:00,2,Cash,0.3,successful,2025-07-11,2025,7,July,Q3,3c9f2db51c8fa152a6f5607757049f66dd2cc7b9b23c95ca589fc89feb85612b,XXXXXX1149,retail_data1,Electronics,45000,63000.0
43,861,Tim Brock,105,45000.0,TV,Electronics,offline,Bangalore,05-26-2025,5,Card,0.4,successful,2025-05-26,2025,5,May,Q2,5f71f06d52c3eaf849739c9d2a62c35980e9ab498a1f48ec8066bcb02545c7b9,XXXXXX1491,retail_data1,Electronics,45000,135000.0
44,213,Nancy Lee,104,8000.0,Shoes,Clothing,offline,Hyderabad,05-14-2025,3,Card,0.25,successful,2025-05-14,2025,5,May,Q2,7f88954b985efd3dc589bcd7e2e6168c9c5c1f65385370194481741b0a74e900,XXXXXX7242,retail_data1,Clothing,8000,18000.0
45,220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23 00:00:00,4,Cash,0.15,successful,2025-11-23,2025,11,November,Q4,667a8be4d552f636ef6964e4bd5cb86f2b635dcd1864a240d0ccf3325d276f04,XXXXXX5210,retail_data1,Clothing,8000,27200.0
46,463,Kevin Cruz,104,8000.0,Shoes,Clothing,online,Delhi,04-27-2025,5,Upi,0.1,successful,2025-04-27,2025,4,April,Q2,11f3ec741a6e5879d2b649b28115f24df38b36a26fdb7dbc26e5ef12c94536d5,XXXXXX4173,retail_data1,Clothing,8000,36000.0
47,429,Michael Welch,101,250000.0,Laptop,Electronics,offline,Delhi,08-27-2025,4,Netbanking,0.1,successful,2025-08-27,2025,8,August,Q3,bedac616b9c3089ee5e7df99649f2fdb662f01b72af5f10739b2a0db2003902b,XXXXXX3250,retail_data1,Electronics,250000,900000.0
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11 00:00:00,1,Cash,0.25,successful,2025-07-11,2025,7,July,Q3,6f068f3c3a017ffc9095dcd639447b4db9371b8488115f41ff04d327f38dcfde,XXXXXX8256,retail_data1,Home Appliances,15000,11250.0
49,971,Larry Ramos,103,1300.0,Shirt,Clothing,offline,Chennai,2025-07-10 00:00:00,5,Upi,0.2,successful,2025-07-10,2025,7,July,Q3,49773b477b954851f71225a1101888c3f319baa22f7fc65e963dc6681ff6763e,XXXXXX5114,retail_data1,Clothing,1300,5200.0
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31 00:00:00,5,Upi,0.15,successful,2025-05-31,2025,5,May,Q2,84c86a7a51407b2e75ad673c0093759a185d3e3269227e0d737fd4abb53a9292,XXXXXX4911,retail_data1,Furniture,80000,340000.0
51,485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12 00:00:00,2,Card,0.1,successful,2025-07-12,2025,7,July,Q3,877a7800e92db1ae87aae305324d9d0d4db71f7cb60d1f2110ca9de2bcbd59c8,XXXXXX7157,retail_data1,Furniture,50000,90000.0
52,883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17 00:00:00,1,Card,0.4,successful,2025-07-17,2025,7,July,Q3,f41735597027b7508fe7d1f16122c0822b1261ec0288c0fd5644cd95aee9786a,XXXXXX7922,retail_data1,Clothing,8000,4800.0
53,202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03 00:00:00,1,Card,0.15,successful,2025-11-03,2025,11,November,Q4,0699eb039ab5d465647140f72e9eb02538865c37f3050bd097290c5fc2bd3e57,XXXXXX7299,retail_data1,Clothing,1300,1105.0
54,817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25 00:00:00,3,Cash,0.25,successful,2025-07-25,2025,7,July,Q3,aa61e27b92ab7a6a3e4ee382358d03feacad9f9908acab3952786946aeae07dd,XXXXXX9866,retail_data1,Furniture,50000,112500.0
55,801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01 00:00:00,5,Upi,0.3,successful,2025-10-01,2025,10,October,Q4,31baea7dc5004ed585f0778f5f91dac1aa1f6157ddf85c0de8f6fa66af9cded3,XXXXXX6583,retail_data1,Clothing,8000,28000.0
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20 00:00:00,2,Netbanking,0.4,successful,2026-02-20,2026,2,February,Q1,df6d279c4ae455a42594cb504e2589cf2afedde4dfef96d42ce8c2e7e40d81dd,XXXXXX8578,retail_data1,Clothing,8000,9600.0
57,72,Michael Wood,105,45000.0,TV,Electronics,online,Chennai,12-31-2025,5,Cash,0.2,successful,2025-12-31,2025,12,December,Q4,dad392d7259c93cc713b45ab37277542278eae8b41e4ad642a7a7f9a35ef03d7,XXXXXX0077,retail_data1,Electronics,45000,180000.0
58,873,Tracy Bass,101,250000.0,Laptop,Electronics,offline,Hyderabad,10-28-2025,3,Upi,0.15,successful,2025-10-28,2025,10,October,Q4,2151ad89c86ac4a825bc7613559ca1a14b839ba225f195743ca2e54777c0c3be,XXXXXX8034,retail_data1,Electronics,250000,637500.0
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2025-07-13 00:00:00,3,Netbanking,0.15,successful,2025-07-13,2025,7,July,Q3,098bb111e4a877be2f2faaa008a659a1e0603cd11815ff9b0d0e223d50f1c806,XXXXXX2116,retail_data1,Home Appliances,15000,38250.0
60,874,Samuel Patel,106,80000.0,Sofa,Furniture,offline,Mumbai,05-20-2025,5,Upi,0.25,successful,2025-05-20,2025,5,May,Q2,5f28da7acf802ee3b0ce9c20d7d5e711e86f663e1edd8bdcc7da5fdbae959317,XXXXXX3067,retail_data1,Furniture,80000,300000.0
61,507,Thomas Cameron,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-23 00:00:00,2,Cash,0.3,successful,2025-12-23,2025,12,December,Q4,6ece7468490b1af567ae9c3b0b0597102e6a167a3dd1f86a69f07305a3d2811b,XXXXXX2264,retail_data1,Clothing,8000,11200.0
62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07 00:00:00,4,Netbanking,0.05,successful,2025-06-07,2025,6,June,Q2,afc29c52f8abadaa088726dc3cf8ab27596b1fecc7bf3774f183ab9de1e3b19c,XXXXXX6221,retail_data1,Clothing,8000,30400.0
63,182,Kathleen Castro,107,50000.0,Dining Table,Furniture,offline,Hyderabad,02-25-2026,5,Netbanking,0.35,successful,2026-02-25,2026,2,February,Q1,81327869375dffff436ff0ace8445992b0cda82f7dd702a1c16496267175601a,XXXXXX9367,retail_data1,Furniture,50000,162500.0
64,341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14 00:00:00,3,Netbanking,0.1,successful,2025-12-14,2025,12,December,Q4,08ec3a5c15c1dfed7d7774253d59805f14a7e9680a225f62f0d3c4ec563fbf4c,XXXXXX9155,retail_data1,Home Appliances,45000,121500.0
65,937,Nicole Woods,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,04-22-2025,2,Netbanking,0.25,successful,2025-04-22,2025,4,April,Q2,8e2ed67e6b7498c895b0a54cf00a0b8e4daad5510d7fe1c81c3412ca2cc7c644,XXXXXX9075,retail_data1,Home Appliances,15000,22500.0
66,164,Shawn Stewart,104,8000.0,Shoes,Clothing,offline,Chennai,2025-04-16 00:00:00,2,Card,0.3,successful,2025-04-16,2025,4,April,Q2,41f57676af25737ac6f1809a4c65bb04396b62571033c0fd43fa927d0b1bbb5d,XXXXXX4854,retail_data1,Clothing,8000,11200.0
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04 00:00:00,3,Cash,0.3,successful,2026-04-04,2026,4,April,Q2,0c7a90404283db84573e1faae493c1d2eac5ab41166264ead6406a8770f9cd2e,XXXXXX7624,retail_data1,Home Appliances,65000,136500.0
68,603,Shawn Roberson,104,8000.0,Shoes,Clothing,offline,Chennai,09-30-2025,4,Card,0.15,successful,2025-09-30,2025,9,September,Q3,795e182ffeec7ceb74ea1dda8905bf38dfd11f4d6ffc726f193eeaef6d7169cd,XXXXXX2575,retail_data1,Clothing,8000,27200.0
69,656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29 00:00:00,1,Netbanking,0.1,successful,2025-08-29,2025,8,August,Q3,768a5cdb108453eee159d8041d33654e3499608c530ef17fc13b93ec8a216b14,XXXXXX8407,retail_data1,Clothing,8000,7200.0
70,687,Robert Estrada,110,45000.0,Microwave,Home Appliances,offline,Hyderabad,2026-04-05 00:00:00,1,Upi,0.1,successful,2026-04-05,2026,4,April,Q2,3421618f328981ce9ed7e352173f33b685ded3e022acb1f362dd6aac8f295807,XXXXXX9773,retail_data1,Home Appliances,45000,40500.0
71,186,Dawn Garrett,105,45000.0,TV,Electronics,offline,Chennai,2026-01-23 00:00:00,2,Card,0.3,successful,2026-01-23,2026,1,January,Q1,3cd16f0cb4f12fad69dbb4373268971fbf6482006b7b47c8d5f110c87f9771f9,XXXXXX0201,retail_data1,Electronics,45000,63000.0
72,865,Jessica Patterson,102,70000.0,Phone,Electronics,online,Hyderabad,2026-04-07 00:00:00,1,Upi,0.2,successful,2026-04-07,2026,4,April,Q2,34176c139824e74c714c8d601cd5dac3e80e0dc1b86854c31cda4c48e4b9c121,XXXXXX0460,retail_data1,Electronics,70000,56000.0
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09 00:00:00,4,Card,0.1,successful,2026-03-09,2026,3,March,Q1,05ce73e56a91ca4b08dca4ba18591145013bdba2a1ea8b3903277aeab2e61a20,XXXXXX9627,retail_data1,Electronics,250000,900000.0
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10 00:00:00,1,Netbanking,0.1,successful,2025-08-10,2025,8,August,Q3,a8f9474eb96c8b7696084d4fc0a8587fb3fb0c388e9e81e7d7e56df1695717a8,XXXXXX9121,retail_data1,Home Appliances,15000,13500.0
78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11 00:00:00,4,Cash,0.1,successful,2025-06-11,2025,6,June,Q2,5f28da7acf802ee3b0ce9c20d7d5e711e86f663e1edd8bdcc7da5fdbae959317,XXXXXX3067,retail_data1,Clothing,8000,28800.0
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16 00:00:00,5,Upi,0.3,successful,2025-05-16,2025,5,May,Q2,02b2d07e6f7da6bcf58bc4e87409eeebd52cffa8933548447837cd90948f0db5,XXXXXX0862,retail_data1,Electronics,70000,245000.0
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20 00:00:00,5,Cash,0.05,successful,2025-06-20,2025,6,June,Q2,03f9669d7f8df968ac31f27c56b3be9c2a0ccd4985d87c5785757dc71a2e711d,XXXXXX1868,retail_data1,Home Appliances,15000,71250.0
81,704,Susan Thomas,107,50000.0,Dining Table,Furniture,offline,Chennai,2026-04-14 00:00:00,5,Upi,0.25,successful,2026-04-14,2026,4,April,Q2,89d8b2896e151ac5d91f73ec7445cc7248557635fc08bab0f910b55c194269ac,XXXXXX6032,retail_data1,Furniture,50000,187500.0
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18 00:00:00,4,Netbanking,0.4,successful,2025-06-18,2025,6,June,Q2,7f3f115e474285931875be6e7a141c455fc4e37fb0f0f28a956d3322243ac480,XXXXXX9323,retail_data1,Electronics,250000,600000.0
83,11,James Leblanc,110,45000.0,Microwave,Home Appliances,online,Delhi,06-28-2025,3,Netbanking,0.2,successful,2025-06-28,2025,6,June,Q2,51c9508ce0014c1c4261256beaa2ea06ba08d2479b8a2200b8817eb9400b6ecb,XXXXXX0360,retail_data1,Home Appliances,45000,108000.0
84,379,Andres Stokes,105,45000.0,TV,Electronics,offline,Mumbai,2025-11-07 00:00:00,5,Upi,0.2,successful,2025-11-07,2025,11,November,Q4,1d07f7773686019a3cf28106fc6b1c87454c8cc68744f90d484b3ddb5f18ba82,XXXXXX0361,retail_data1,Electronics,45000,180000.0
85,108,Andrew Vazquez,101,250000.0,Laptop,Electronics,online,Delhi,08-30-2025,5,Card,0.1,successful,2025-08-30,2025,8,August,Q3,1568de605c1795d7e39130870ab196aff3c3acf2a0615948b13bd83c9a06f0f5,XXXXXX8527,retail_data1,Electronics,250000,1125000.0
86,427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09 00:00:00,4,Netbanking,0.05,successful,2026-01-09,2026,1,January,Q1,5aa34a2ec9b3a36e48e64510bda5e2d6ab9544d8e4ca084d7609f9664a41a971,XXXXXX6970,retail_data1,Clothing,1300,4940.0
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04 00:00:00,1,Cash,0.15,successful,2025-11-04,2025,11,November,Q4,3bb33658f729c03a2836f1aa8d08ccfb86ce3f5327b063c69594076284aa21f1,XXXXXX5336,retail_data1,Electronics,70000,59500.0
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02 00:00:00,3,Card,0.2,successful,2026-02-02,2026,2,February,Q1,35436649ed9d9544804baad73b564f5c02dd4f18af4ae69552c1c4b6e40bf9d4,XXXXXX0490,retail_data1,Home Appliances,45000,108000.0
89,992,William Rose,107,50000.0,Dining Table,Furniture,online,Hyderabad,2025-12-20 00:00:00,5,Cash,0.15,successful,2025-12-20,2025,12,December,Q4,b6e4bcc84599757d9d7f408b79f669b27e451be9df60e9b6bab5e8284379ef26,XXXXXX0906,retail_data1,Furniture,50000,212500.0
90,439,Billy James,102,70000.0,Phone,Electronics,offline,Mumbai,03-24-2026,3,Card,0.4,successful,2026-03-24,2026,3,March,Q1,c1b3de25e4f70a85bcc9e99a7aab16fd03319a6f3cd50293e6eae457d99ed0be,XXXXXX7874,retail_data1,Electronics,70000,126000.0
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05 00:00:00,1,Cash,0.4,successful,2026-01-05,2026,1,January,Q1,dd1d34024c705f987456f8bb4a52d76a4f61a48ba603ca34591efa3cee80f532,XXXXXX6788,retail_data1,Electronics,70000,42000.0
92,728,Lisa Miller,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2026-03-28 00:00:00,1,Netbanking,0.05,successful,2026-03-28,2026,3,March,Q1,bea5cb0b6d856428de247183f5bbd3d92f4829f26879cfd66b4c80e7aaa92d03,XXXXXX3795,retail_data1,Home Appliances,15000,14250.0
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16 00:00:00,5,Upi,0.15,successful,2025-12-16,2025,12,December,Q4,1d1bf3bfddc002bbf1c47b78915cea39b70a1a02ce424a88693f4a331315f603,XXXXXX9832,retail_data1,Electronics,70000,297500.0
